Station ID,Latitude,Longitude,Address,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency,Is24Hours,IsHighPower
EVS00025,41.989867,-87.637143,"1788 Chicago Ave, Chicago",L1,0.500000,9:00-18:00,4.710000,67,ChargePoint,50,"['CCS', 'Tesla']",2021,No,4.700000,7,Quarterly,False,False
EVS00026,39.908197,116.390126,"6257 Beijing Ave, Beijing",DC,0.470000,00:00-24:00,8.300000,99,Greenlots,50,['Type 2'],2015,No,4.100000,1,Monthly,True,False
EVS00027,13.743441,100.449744,"5641 Bangkok Ave, Bangkok",DC,0.500000,9:00-18:00,17.760000,25,ChargePoint,150,['Tesla'],2020,No,4.100000,7,Annually,False,True
EVS00028,-23.654772,-46.534003,"1145 São Paulo Ave, São Paulo",L1,0.250000,00:00-24:00,13.650000,52,Tesla,50,['CCS'],2014,No,4.700000,3,Quarterly,True,False
EVS00029,-33.718044,151.217306,"3343 Sydney Ave, Sydney",L1,0.450000,6:00-22:00,8.360000,72,Ionity,22,['Tesla'],2017,No,4.800000,9,Annually,False,False
EVS00030,39.807514,116.203733,"7835 Beijing Ave, Beijing",DC,0.200000,6:00-22:00,5.520000,27,EVgo,50,"['CHAdeMO', 'Type 2']",2013,No,3.000000,5,Annually,False,False
EVS00032,39.999797,116.345712,"3787 Beijing Ave, Beijing",L2,0.190000,9:00-18:00,18.440000,90,Tesla,150,"['Tesla', 'Type 2']",2020,Yes,4.100000,3,Quarterly,False,True
EVS00033,-23.619267,-46.677570,"5423 São Paulo Ave, São Paulo",DC,0.460000,00:00-24:00,18.390000,97,Tesla,350,"['CCS', 'Type 2']",2018,No,3.700000,7,Monthly,True,True
EVS00034,39.843388,116.357078,"8032 Beijing Ave, Beijing",L1,0.210000,6:00-22:00,0.840000,59,EVgo,150,"['CHAdeMO', 'CCS']",2018,Yes,3.700000,9,Monthly,False,True
EVS00035,41.868532,-87.602875,"9647 Chicago Ave, Chicago",L2,0.220000,9:00-18:00,9.700000,16,Ionity,50,['CHAdeMO'],2015,Yes,4.400000,2,Annually,False,False
EVS00036,43.634205,-79.494221,"1648 Toronto Ave, Toronto",L2,0.390000,6:00-22:00,10.840000,21,Greenlots,22,"['Type 2', 'Tesla']",2012,Yes,4.700000,4,Monthly,False,False
EVS00037,13.756978,100.402198,"880 Bangkok Ave, Bangkok",L1,0.290000,9:00-18:00,1.280000,50,Greenlots,350,['Type 2'],2016,No,4.300000,1,Quarterly,False,True
EVS00038,-33.759342,151.210366,"8960 Sydney Ave, Sydney",L1,0.130000,9:00-18:00,19.060000,61,Ionity,22,['CHAdeMO'],2018,Yes,4.200000,4,Quarterly,False,False
EVS00039,39.941888,116.320916,"2131 Beijing Ave, Beijing",DC,0.370000,00:00-24:00,15.630000,69,Ionity,350,"['CCS', 'CHAdeMO']",2023,Yes,4.200000,3,Annually,True,True
EVS00040,-33.726294,18.460786,"6005 Cape Town Ave, Cape Town",L2,0.410000,00:00-24:00,14.620000,15,Tesla,50,"['CHAdeMO', 'Tesla']",2012,No,4.900000,1,Annually,True,False
EVS00042,41.978341,-87.773320,"2960 Chicago Ave, Chicago",DC,0.390000,9:00-18:00,19.630000,14,Tesla,50,"['Type 2', 'Tesla']",2023,No,4.800000,3,Monthly,False,False
EVS00043,25.281221,55.258951,"1916 Dubai Ave, Dubai",L1,0.270000,6:00-22:00,5.060000,73,Greenlots,50,"['Tesla', 'CHAdeMO']",2012,Yes,4.300000,8,Quarterly,False,False
EVS00044,37.574357,127.067507,"5156 Seoul Ave, Seoul",L1,0.360000,9:00-18:00,2.380000,96,ChargePoint,50,['CCS'],2019,No,3.800000,3,Monthly,False,False
EVS00045,-33.737572,151.335511,"7799 Sydney Ave, Sydney",L2,0.400000,9:00-18:00,19.670000,78,Ionity,22,['Tesla'],2018,Yes,4.400000,3,Quarterly,False,False
EVS00046,41.935571,-87.741868,"8397 Chicago Ave, Chicago",DC,0.220000,9:00-18:00,2.580000,12,EVgo,50,['Tesla'],2020,No,3.600000,3,Quarterly,False,False
EVS00047,19.055518,72.889370,"2970 Mumbai Ave, Mumbai",L1,0.350000,00:00-24:00,19.400000,68,Ionity,50,"['CCS', 'Tesla']",2021,Yes,3.000000,9,Quarterly,True,False
EVS00048,-33.786133,151.295304,"4355 Sydney Ave, Sydney",DC,0.130000,00:00-24:00,2.310000,56,ChargePoint,150,['CHAdeMO'],2022,No,3.500000,4,Annually,True,True
EVS00049,41.878593,-87.698920,"689 Chicago Ave, Chicago",L1,0.180000,9:00-18:00,19.260000,40,ChargePoint,150,"['CHAdeMO', 'CCS']",2011,Yes,3.800000,8,Monthly,False,True
EVS00050,34.185960,-118.347082,"8531 Los Angeles Ave, Los Angeles",L2,0.470000,00:00-24:00,2.490000,26,ChargePoint,150,['Tesla'],2023,Yes,4.300000,9,Monthly,True,True
EVS00052,52.424113,13.379990,"8806 Berlin Ave, Berlin",L2,0.330000,9:00-18:00,8.560000,50,ChargePoint,50,"['CHAdeMO', 'CCS']",2011,No,3.400000,3,Monthly,False,False
EVS00053,55.720058,37.598246,"4130 Moscow Ave, Moscow",L2,0.490000,9:00-18:00,3.090000,79,Greenlots,22,"['CCS', 'Tesla']",2017,No,3.800000,4,Annually,False,False
EVS00054,41.948302,-87.718438,"6541 Chicago Ave, Chicago",DC,0.370000,00:00-24:00,1.980000,79,Ionity,50,['CHAdeMO'],2016,Yes,4.700000,4,Annually,True,False
EVS00055,37.523100,127.072447,"4005 Seoul Ave, Seoul",L1,0.130000,00:00-24:00,9.160000,19,Tesla,150,['CHAdeMO'],2013,Yes,3.500000,5,Quarterly,True,True
EVS00056,19.118476,72.956977,"5574 Mumbai Ave, Mumbai",L2,0.180000,6:00-22:00,11.910000,50,ChargePoint,150,['CCS'],2013,Yes,4.200000,4,Quarterly,False,True
EVS00057,25.283465,55.264578,"6085 Dubai Ave, Dubai",DC,0.420000,9:00-18:00,15.850000,67,Greenlots,50,['CHAdeMO'],2018,No,4.500000,8,Quarterly,False,False
EVS00058,37.601252,127.028633,"4787 Seoul Ave, Seoul",L1,0.410000,9:00-18:00,13.140000,71,EVgo,150,"['Tesla', 'CCS']",2012,Yes,4.000000,4,Monthly,False,True
EVS00059,41.959182,-87.684862,"4378 Chicago Ave, Chicago",DC,0.180000,00:00-24:00,6.730000,13,EVgo,350,['CHAdeMO'],2022,No,3.500000,9,Quarterly,True,True
EVS00060,41.801381,-87.620772,"16 Chicago Ave, Chicago",L2,0.300000,9:00-18:00,6.780000,26,Tesla,22,['Tesla'],2010,Yes,3.100000,4,Monthly,False,False
EVS00062,-33.733482,18.441992,"7833 Cape Town Ave, Cape Town",DC,0.230000,6:00-22:00,0.680000,68,Greenlots,50,['Type 2'],2023,Yes,4.900000,8,Quarterly,False,False
EVS00063,41.970902,-87.795455,"2876 Chicago Ave, Chicago",DC,0.280000,9:00-18:00,0.960000,49,Greenlots,350,['Type 2'],2018,No,3.800000,9,Annually,False,True
EVS00064,43.733490,-79.340516,"5576 Toronto Ave, Toronto",L2,0.360000,00:00-24:00,5.160000,31,Ionity,22,['Tesla'],2018,Yes,3.300000,4,Annually,True,False
EVS00065,25.387104,55.376848,"335 Dubai Ave, Dubai",DC,0.270000,00:00-24:00,6.580000,67,Greenlots,350,"['CCS', 'Type 2']",2019,No,4.800000,7,Quarterly,True,True
EVS00066,-33.877766,151.208813,"9172 Sydney Ave, Sydney",DC,0.320000,00:00-24:00,13.680000,31,EVgo,350,['Tesla'],2013,Yes,3.600000,3,Monthly,True,True
EVS00067,37.685854,126.915749,"5052 Seoul Ave, Seoul",L2,0.450000,00:00-24:00,8.370000,20,Greenlots,150,['CHAdeMO'],2020,Yes,3.000000,3,Monthly,True,True
EVS00068,39.924519,116.336180,"6966 Beijing Ave, Beijing",DC,0.360000,00:00-24:00,11.720000,43,Tesla,350,"['CHAdeMO', 'Type 2']",2015,No,4.500000,3,Quarterly,True,True
EVS00069,25.358698,55.306683,"1979 Dubai Ave, Dubai",DC,0.140000,6:00-22:00,4.710000,13,Ionity,50,"['Tesla', 'CCS']",2016,Yes,3.900000,8,Monthly,False,False
EVS00070,34.130318,-118.265518,"436 Los Angeles Ave, Los Angeles",DC,0.410000,6:00-22:00,8.750000,31,ChargePoint,150,['Tesla'],2020,No,4.400000,10,Quarterly,False,True
EVS00072,-33.796979,18.591207,"9085 Cape Town Ave, Cape Town",L1,0.460000,9:00-18:00,4.170000,37,Tesla,22,['CHAdeMO'],2020,Yes,4.900000,6,Quarterly,False,False
EVS00073,34.001771,-118.315113,"1856 Los Angeles Ave, Los Angeles",L2,0.340000,9:00-18:00,2.350000,99,Ionity,22,['CCS'],2016,No,4.400000,2,Monthly,False,False
EVS00074,39.839933,116.357848,"493 Beijing Ave, Beijing",L1,0.230000,00:00-24:00,14.310000,80,Ionity,350,"['Type 2', 'CHAdeMO']",2018,No,4.700000,10,Monthly,True,True
EVS00075,39.818753,116.437967,"9969 Beijing Ave, Beijing",DC,0.450000,6:00-22:00,11.680000,46,Greenlots,22,['CCS'],2017,Yes,4.600000,1,Annually,False,False
EVS00076,-23.531806,-46.657324,"3924 São Paulo Ave, São Paulo",L2,0.160000,00:00-24:00,12.250000,12,Tesla,50,['CCS'],2022,Yes,3.100000,8,Monthly,True,False
EVS00077,13.764058,100.543192,"8503 Bangkok Ave, Bangkok",DC,0.460000,9:00-18:00,13.810000,15,Greenlots,22,['CCS'],2023,Yes,5.000000,10,Monthly,False,False
EVS00078,-33.756344,151.215081,"8542 Sydney Ave, Sydney",L2,0.340000,00:00-24:00,8.410000,100,ChargePoint,350,['Tesla'],2017,Yes,3.100000,5,Monthly,True,True
EVS00079,18.959930,72.979858,"3381 Mumbai Ave, Mumbai",DC,0.270000,6:00-22:00,10.440000,75,ChargePoint,350,"['CHAdeMO', 'Tesla']",2022,Yes,4.600000,2,Annually,False,True
EVS00080,34.174544,-118.206495,"1935 Los Angeles Ave, Los Angeles",L2,0.450000,00:00-24:00,19.250000,99,EVgo,150,"['CHAdeMO', 'Tesla']",2021,Yes,3.700000,4,Annually,True,True
EVS00082,19.523567,-99.039919,"9806 Mexico City Ave, Mexico City",DC,0.320000,00:00-24:00,16.790000,31,EVgo,50,['Type 2'],2023,Yes,3.500000,4,Quarterly,True,False
EVS00083,-33.791097,18.432514,"4122 Cape Town Ave, Cape Town",L2,0.360000,6:00-22:00,16.470000,32,Ionity,350,['Tesla'],2014,Yes,3.800000,8,Quarterly,False,True
EVS00084,55.808580,37.561068,"6532 Moscow Ave, Moscow",L2,0.280000,6:00-22:00,13.670000,82,ChargePoint,150,['Tesla'],2010,Yes,3.800000,1,Monthly,False,True
EVS00085,41.848181,-87.613822,"6285 Chicago Ave, Chicago",L2,0.130000,6:00-22:00,8.180000,40,Tesla,50,['Tesla'],2012,Yes,4.900000,9,Monthly,False,False
EVS00086,39.905622,116.394232,"1381 Beijing Ave, Beijing",L2,0.490000,00:00-24:00,16.110000,99,Tesla,50,"['CHAdeMO', 'Type 2']",2011,Yes,4.600000,8,Monthly,True,False
EVS00087,41.825261,-87.749237,"6829 Chicago Ave, Chicago",L2,0.200000,6:00-22:00,3.170000,91,EVgo,50,['Type 2'],2019,No,4.500000,10,Monthly,False,False
EVS00088,-33.738647,18.566822,"760 Cape Town Ave, Cape Town",DC,0.370000,6:00-22:00,19.090000,68,Ionity,350,['Type 2'],2022,No,4.400000,6,Monthly,False,True
EVS00089,43.633114,-79.440012,"7708 Toronto Ave, Toronto",L1,0.160000,9:00-18:00,3.080000,99,ChargePoint,50,['CHAdeMO'],2018,No,3.700000,6,Quarterly,False,False
EVS00090,55.816399,37.517124,"4669 Moscow Ave, Moscow",L2,0.470000,6:00-22:00,14.450000,11,EVgo,150,"['Type 2', 'Tesla']",2016,Yes,4.200000,3,Quarterly,False,True
EVS00092,37.737894,-122.413068,"7476 San Francisco Ave, San Francisco",L1,0.390000,00:00-24:00,13.830000,58,EVgo,350,"['Tesla', 'CCS']",2018,Yes,3.700000,3,Annually,True,True
EVS00093,52.458154,13.383548,"6288 Berlin Ave, Berlin",L1,0.110000,9:00-18:00,6.630000,18,Greenlots,350,"['CHAdeMO', 'Type 2']",2022,Yes,4.900000,8,Annually,False,True
EVS00094,52.459482,13.420488,"9796 Berlin Ave, Berlin",L2,0.300000,9:00-18:00,5.570000,79,Tesla,50,['CCS'],2018,Yes,3.500000,7,Monthly,False,False
EVS00095,13.875159,100.507561,"2173 Bangkok Ave, Bangkok",L1,0.300000,6:00-22:00,10.970000,67,Greenlots,22,['CHAdeMO'],2021,No,3.900000,3,Quarterly,False,False
EVS00096,-23.603702,-46.520629,"3633 São Paulo Ave, São Paulo",L1,0.110000,00:00-24:00,18.490000,85,ChargePoint,50,"['Type 2', 'CHAdeMO']",2014,Yes,4.900000,2,Monthly,True,False
EVS00097,34.036969,-118.348881,"8984 Los Angeles Ave, Los Angeles",L2,0.440000,00:00-24:00,9.050000,25,Tesla,22,"['CCS', 'CHAdeMO']",2020,Yes,4.500000,5,Quarterly,True,False
EVS00098,39.859340,116.359182,"7371 Beijing Ave, Beijing",DC,0.200000,6:00-22:00,10.820000,85,Tesla,350,"['CHAdeMO', 'Type 2']",2023,No,3.800000,5,Quarterly,False,True
EVS00099,25.264785,55.343229,"8983 Dubai Ave, Dubai",L2,0.410000,9:00-18:00,4.430000,17,Tesla,350,"['Type 2', 'CCS']",2015,Yes,3.900000,8,Quarterly,False,True
EVS00100,37.568724,126.962294,"1750 Seoul Ave, Seoul",L2,0.410000,9:00-18:00,3.000000,54,ChargePoint,150,['Type 2'],2018,No,4.800000,10,Monthly,False,True
EVS00102,39.937451,116.323201,"7022 Beijing Ave, Beijing",DC,0.120000,00:00-24:00,17.810000,41,Ionity,22,"['CHAdeMO', 'Type 2']",2023,No,3.200000,4,Monthly,True,False
EVS00103,37.648780,126.903295,"5496 Seoul Ave, Seoul",L1,0.320000,9:00-18:00,8.260000,20,Greenlots,22,['Type 2'],2010,No,3.300000,7,Monthly,False,False
EVS00104,43.737898,-79.330018,"4326 Toronto Ave, Toronto",L2,0.140000,6:00-22:00,19.640000,93,Ionity,22,"['CCS', 'Tesla']",2020,No,3.400000,5,Annually,False,False
EVS00105,19.587423,-99.072921,"1236 Mexico City Ave, Mexico City",L2,0.260000,00:00-24:00,3.620000,76,EVgo,150,['Type 2'],2018,No,4.400000,10,Quarterly,True,True
EVS00106,19.521945,-99.049855,"2317 Mexico City Ave, Mexico City",L2,0.290000,9:00-18:00,0.560000,47,ChargePoint,350,['Type 2'],2012,No,3.200000,1,Monthly,False,True
EVS00107,-33.733347,18.455827,"7328 Cape Town Ave, Cape Town",DC,0.310000,6:00-22:00,12.840000,96,ChargePoint,22,['Tesla'],2011,No,4.800000,7,Annually,False,False
EVS00108,18.979560,72.963574,"9772 Mumbai Ave, Mumbai",L2,0.110000,6:00-22:00,3.140000,43,Tesla,350,['CCS'],2020,Yes,5.000000,7,Annually,False,True
EVS00109,55.723104,37.652898,"5042 Moscow Ave, Moscow",DC,0.190000,00:00-24:00,17.930000,62,Ionity,50,['CCS'],2018,No,3.300000,7,Quarterly,True,False
EVS00110,39.857604,116.357044,"7308 Beijing Ave, Beijing",L1,0.190000,9:00-18:00,3.730000,68,EVgo,350,"['CHAdeMO', 'Type 2']",2018,Yes,4.300000,9,Quarterly,False,True
EVS00112,41.902876,-87.633567,"4833 Chicago Ave, Chicago",L1,0.350000,6:00-22:00,2.200000,48,Greenlots,50,['Tesla'],2017,Yes,4.100000,2,Quarterly,False,False
EVS00113,13.763240,100.555092,"563 Bangkok Ave, Bangkok",L2,0.270000,00:00-24:00,17.190000,22,ChargePoint,150,"['CCS', 'CHAdeMO']",2014,Yes,3.200000,10,Annually,True,True
EVS00114,19.085914,72.847076,"1666 Mumbai Ave, Mumbai",L2,0.390000,6:00-22:00,18.540000,19,ChargePoint,50,"['Tesla', 'Type 2']",2022,Yes,3.500000,9,Quarterly,False,False
EVS00115,37.614963,127.071672,"3505 Seoul Ave, Seoul",L2,0.310000,6:00-22:00,9.120000,59,Greenlots,50,"['Tesla', 'Type 2']",2018,No,3.400000,4,Monthly,False,False
EVS00116,41.945245,-87.702684,"8657 Chicago Ave, Chicago",L2,0.300000,6:00-22:00,1.960000,57,ChargePoint,50,['Tesla'],2017,Yes,4.900000,1,Annually,False,False
EVS00117,39.964943,116.356573,"2491 Beijing Ave, Beijing",L2,0.370000,6:00-22:00,6.450000,44,Ionity,22,"['CHAdeMO', 'CCS']",2010,No,4.100000,7,Annually,False,False
EVS00118,25.364988,55.308793,"7486 Dubai Ave, Dubai",DC,0.170000,00:00-24:00,13.630000,89,Tesla,22,['CCS'],2015,No,4.400000,8,Quarterly,True,False
EVS00119,25.327731,55.265229,"157 Dubai Ave, Dubai",L2,0.180000,9:00-18:00,18.850000,44,Greenlots,50,"['CCS', 'CHAdeMO']",2017,Yes,3.900000,6,Monthly,False,False
EVS00120,-33.752322,151.290734,"3530 Sydney Ave, Sydney",L2,0.280000,00:00-24:00,11.270000,62,Tesla,150,"['Type 2', 'CHAdeMO']",2023,No,3.100000,9,Annually,True,True
EVS00122,34.006015,-118.340642,"170 Los Angeles Ave, Los Angeles",L2,0.290000,9:00-18:00,18.600000,57,Greenlots,50,['CCS'],2021,Yes,3.300000,2,Monthly,False,False
EVS00123,-23.632022,-46.571271,"8450 São Paulo Ave, São Paulo",L2,0.210000,6:00-22:00,7.710000,62,Tesla,50,['Type 2'],2021,Yes,3.700000,7,Quarterly,False,False
EVS00124,55.879507,37.662621,"5746 Moscow Ave, Moscow",L2,0.460000,00:00-24:00,8.610000,83,EVgo,50,"['Tesla', 'CHAdeMO']",2019,Yes,4.500000,6,Monthly,True,False
EVS00125,-33.854760,151.300876,"5550 Sydney Ave, Sydney",DC,0.480000,6:00-22:00,14.600000,33,Tesla,50,"['CHAdeMO', 'CCS']",2022,No,3.100000,1,Monthly,False,False
EVS00126,37.532948,127.008718,"7503 Seoul Ave, Seoul",L1,0.470000,00:00-24:00,14.800000,45,Tesla,150,"['Type 2', 'Tesla']",2021,Yes,4.300000,10,Annually,True,True
EVS00127,19.432658,-99.086061,"6276 Mexico City Ave, Mexico City",DC,0.210000,6:00-22:00,5.860000,49,Ionity,22,['CCS'],2012,No,4.200000,8,Quarterly,False,False
EVS00128,-33.872186,151.346868,"6208 Sydney Ave, Sydney",L2,0.160000,00:00-24:00,15.950000,71,Ionity,50,['CCS'],2013,No,4.100000,6,Annually,True,False
EVS00129,39.916791,116.267198,"3833 Beijing Ave, Beijing",L1,0.100000,6:00-22:00,11.770000,66,Ionity,22,"['CCS', 'Type 2']",2021,Yes,4.300000,4,Quarterly,False,False
EVS00130,41.933882,-87.634607,"4948 Chicago Ave, Chicago",DC,0.350000,00:00-24:00,10.650000,58,EVgo,150,['CCS'],2013,Yes,4.000000,4,Annually,True,True
EVS00132,41.968075,-87.730962,"2642 Chicago Ave, Chicago",L1,0.270000,9:00-18:00,4.990000,32,EVgo,150,['CCS'],2016,No,4.900000,1,Quarterly,False,True
EVS00133,25.312641,55.273931,"1811 Dubai Ave, Dubai",DC,0.430000,6:00-22:00,2.450000,37,EVgo,22,['Tesla'],2014,Yes,4.800000,4,Monthly,False,False
EVS00134,41.847635,-87.753595,"3495 Chicago Ave, Chicago",L1,0.330000,00:00-24:00,9.030000,26,Greenlots,50,"['Tesla', 'CCS']",2017,No,4.500000,8,Monthly,True,False
EVS00135,19.053562,72.835112,"821 Mumbai Ave, Mumbai",DC,0.250000,6:00-22:00,6.600000,45,Greenlots,350,"['Tesla', 'Type 2']",2017,No,4.300000,10,Quarterly,False,True
EVS00136,-33.885375,151.309019,"6193 Sydney Ave, Sydney",L1,0.340000,6:00-22:00,5.920000,30,Tesla,350,"['CHAdeMO', 'Tesla']",2010,No,4.600000,4,Quarterly,False,True
EVS00137,-33.762238,18.497402,"3078 Cape Town Ave, Cape Town",L1,0.410000,9:00-18:00,0.590000,37,Ionity,350,['Type 2'],2020,Yes,3.400000,4,Quarterly,False,True
EVS00138,43.667051,-79.495620,"4542 Toronto Ave, Toronto",DC,0.330000,6:00-22:00,18.440000,98,Tesla,22,"['CHAdeMO', 'CCS']",2019,Yes,4.700000,2,Quarterly,False,False
EVS00139,39.972485,116.200458,"852 Beijing Ave, Beijing",L1,0.340000,6:00-22:00,12.540000,94,Ionity,22,['Type 2'],2016,Yes,5.000000,3,Quarterly,False,False
EVS00140,-33.704286,18.454534,"5698 Cape Town Ave, Cape Town",L2,0.500000,6:00-22:00,6.970000,76,Tesla,350,['CCS'],2011,Yes,4.300000,4,Monthly,False,True
EVS00142,39.925920,116.423656,"3638 Beijing Ave, Beijing",L1,0.110000,00:00-24:00,8.570000,85,ChargePoint,150,['CCS'],2022,No,4.400000,10,Monthly,True,True
EVS00143,-33.772520,18.541711,"4783 Cape Town Ave, Cape Town",L2,0.440000,6:00-22:00,0.740000,14,ChargePoint,50,"['Type 2', 'CCS']",2023,No,3.400000,8,Monthly,False,False
EVS00144,43.654641,-79.348446,"7845 Toronto Ave, Toronto",DC,0.150000,6:00-22:00,14.650000,80,Greenlots,150,['CCS'],2017,Yes,4.100000,4,Annually,False,True
EVS00145,55.720416,37.545201,"3962 Moscow Ave, Moscow",L1,0.500000,00:00-24:00,10.270000,34,Greenlots,350,"['CCS', 'Tesla']",2012,Yes,4.400000,9,Annually,True,True
EVS00146,-23.545409,-46.511423,"7670 São Paulo Ave, São Paulo",DC,0.200000,00:00-24:00,18.530000,33,Greenlots,50,['CHAdeMO'],2010,Yes,4.100000,3,Annually,True,False
EVS00147,13.874673,100.499411,"642 Bangkok Ave, Bangkok",L1,0.390000,6:00-22:00,14.290000,42,ChargePoint,350,['Tesla'],2011,Yes,4.100000,9,Quarterly,False,True
EVS00148,52.450770,13.404804,"668 Berlin Ave, Berlin",L1,0.410000,6:00-22:00,0.640000,52,ChargePoint,150,['Tesla'],2011,No,5.000000,6,Monthly,False,True
EVS00149,19.494854,-99.114742,"2735 Mexico City Ave, Mexico City",L2,0.260000,00:00-24:00,10.300000,75,Tesla,50,"['CHAdeMO', 'Type 2']",2018,Yes,4.800000,9,Quarterly,True,False
EVS00150,37.769385,-122.409949,"8002 San Francisco Ave, San Francisco",L2,0.500000,6:00-22:00,13.460000,95,EVgo,22,['Type 2'],2017,No,5.000000,1,Monthly,False,False
EVS00152,52.489213,13.427218,"9559 Berlin Ave, Berlin",L2,0.250000,9:00-18:00,11.020000,92,Greenlots,22,"['CCS', 'Tesla']",2017,No,4.100000,3,Monthly,False,False
EVS00153,-33.833546,18.554578,"1810 Cape Town Ave, Cape Town",L2,0.330000,6:00-22:00,7.880000,90,ChargePoint,150,"['Tesla', 'CHAdeMO']",2015,No,4.600000,1,Quarterly,False,True
EVS00154,43.646213,-79.323081,"8891 Toronto Ave, Toronto",L2,0.330000,00:00-24:00,3.850000,39,Greenlots,150,"['CHAdeMO', 'Tesla']",2019,Yes,4.700000,5,Quarterly,True,True
EVS00155,25.200341,55.397243,"866 Dubai Ave, Dubai",L2,0.110000,6:00-22:00,5.510000,93,Tesla,50,"['Type 2', 'CCS']",2019,Yes,4.300000,4,Annually,False,False
